PublishedRecordId,Data de Criação,Data Alvo,Data Conclusão,Status,Prioridade,Título,Descrição,Responsável,Função,Origem,Local,Categoria,Tipo de Registro,Dias em Aberto,Atrasada?,Área LI,Macrotema LI,Tema específico,Voz do problema,Referência técnica,Exposição / perda potencial,Evidência textual,Confiança		
34610,2025-08-29,2025-09-29,,Awaiting Acceptance,Very High (Immediately),Restaurar dispositivos de segurança da fresa e esmeris,Restaurar proteções acrílicas dos equipamentos rotativos da usinagem,Alexandre Brancaglion,PS Packaging Materials Factory,,,Factory,Audit,325,SIM,Manutenção / Usinagem,Condição de Segurança,Desvio de segurança não especificado,Condição insegura requer avaliação técnica,A definir,Risco ocupacional a confirmar,risco/segurança,Baixa		
34609,2025-08-29,2025-09-29,,Awaiting Acceptance,Low (Ideally within 30 days),Padronização dos carrinho da Usinagem,Padronizar carrinhos de ferramentas da usinagem ou mudar o local de parada.,Alexandre Brancaglion,PS Packaging Materials Factory,,,Factory,Audit,325,SIM,Manutenção / Usinagem,Movimentação de Materiais,Carrinhos / dispositivos,Carrinho ou dispositivo de movimentação inadequado,NR 11 / Ergonomia,"Colisão, esforço excessivo ou queda de material",carrinho,Alta		
42358,2026-02-26,2026-03-26,,Awaiting Acceptance,Medium (Ideally within 14 days),Falta de identificação nas almotolias de óleo,Colocar identificação dos produtos químicos contidos nas almotolias da usinagem,AndreLuis Silva,PS Packaging Materials Factory,,Usinagem,Factory,Audit,144,SIM,Manutenção / Usinagem,Produtos Químicos,Identificação / rotulagem,Produto químico sem identificação ou rotulagem,NR 26,"Uso incorreto, exposição ou resposta inadequada à emergência",almotolia,Alta		
46878,2026-07-21,2026-07-21,,Awaiting Acceptance,Medium (Ideally within 14 days),OPORTUNIDADE DE 5S,"OPORTUNIDADE DE 5S  , PAINEL COM CHAVE QUEBRADA",Ivo Vignando,PS Packaging Materials Factory,,C2 MEZANINO,Factory,Audit,-1,NÃO,C2 MEZANINO,Manutenção e Confiabilidade,Componente danificado / defeituoso,Falha física ou necessidade de manutenção,Manutenção,Falha funcional ou acidente secundário,quebrado/danificado/solto,Média		
3834,2022-05-03,2022-05-03,2024-09-07,Awaiting Verification,Very High (Immediately),queda de forro no CIC,"Caiu o forro do hall de acesso aos banheiros do CIC, devido ao vazamento de água que a Sodexo estava atuando há 2 semanas (o vazamento estava no forro do banheiro e da cozinha do CIC)",Bruna Bispo,Marketing/Sales/Commercial,Safety Observation,,,,1539,SIM,Restaurante / Sodexo,Meio Ambiente,Vazamento de água / óleo,Vazamento com potencial ambiental ou de desperdício,ISO 14001,"Contaminação, desperdício ou escorregamento","vazamento de agua, vazamento",Alta		
13634,2023-05-30,2023-06-30,2023-06-29,Awaiting Verification,Low (Ideally within 30 days),Confeccionar suporte para fixar no garfo,Confeccionar suporte para fixar no garfo da empilhadeira para içar cargas,Vinicius Alves,PS Packaging Materials Factory,,,Factory,Events,1147,SIM,Warehouse / Doca,Movimentação de Materiais,Empilhadeira / veículo industrial,Condição ou operação insegura de empilhadeira,NR 11,"Atropelamento, colisão ou tombamento",empilhadeira,Alta		
13636,2023-05-30,2023-12-31,2023-12-27,Awaiting Verification,Low (Ideally within 30 days),Incluir no procedimento de almoxarifado,Incluir no procedimento de almoxarifado a forma segura e correta de içar materiais,Vinicius Alves,PS Packaging Materials Factory,,,Factory,Events,1147,SIM,Warehouse / Doca,Procedimentos e Capacitação,Procedimento / padrão operacional,"Procedimento inexistente, incompleto ou desatualizado",Sistema de Gestão,Execução inconsistente ou exposição não controlada,procedimento,Alta		
22158,2024-07-31,2024-08-30,2024-10-28,Awaiting Verification,Low (Ideally within 30 days),Retreinar todos os funcionários do processo sobre a importância de descarte correto,Retreinar todos os funcionários do processo sobre a importância de descarte correto,Abelardo Santos,PS Packaging Materials Factory,,,Factory,Events,719,SIM,Produção / Fábrica,5S e Organização,Descarte / resíduos,Descarte ou segregação de resíduos inadequados,5S / Resíduos,"Contaminação, incêndio ou obstrução",descarte,Alta		
24385,2024-10-08,2024-10-01,2025-02-03,Awaiting Verification,Medium (Ideally within 14 days),Inspeção de segurança,"Intensificar  a coleta de resíduos nas àreas , material para descarte alocados sobre os coletores.",,PS Packaging Materials Factory,,,Other,Audit,650,SIM,Área não identificada,5S e Organização,Descarte / resíduos,Descarte ou segregação de resíduos inadequados,5S / Resíduos,"Contaminação, incêndio ou obstrução","descarte, residuo",Alta		
24138,2024-09-25,2024-10-01,2025-02-03,Awaiting Verification,High (Ideally within 7 days),Ajustes nos equipamentos eletricos,"1- O Rack precisa estar fechado para evitar acesso a parte interna.		
2- O transformador deve ser retirado da sala de corte de legumes , precisamos ter o equipamento compativel com voltagem , ou solicitar a instalação de uma tomada com a voltagem correta .		
3- A fiação do balcão sem fronteiras deverá estar amarrada corretamente sem a exposição da fiação.",,PS Packaging Materials Factory,,,Factory,Audit,663,SIM,Produção / Fábrica,Manutenção e Confiabilidade,Componente danificado / defeituoso,Falha física ou necessidade de manutenção,Manutenção,Falha funcional ou acidente secundário,quebrado/danificado/solto,Média		
24134,2024-09-25,2024-10-07,2025-02-03,Awaiting Verification,High (Ideally within 7 days),Separação de resíduos.,Melhorar o proceso de separação e descarte dos resíduos perigosos e não perigosos  com local e identificação correta .,,PS Packaging Materials Factory,,,Factory,Audit,663,SIM,Produção / Fábrica,5S e Organização,Descarte / resíduos,Descarte ou segregação de resíduos inadequados,5S / Resíduos,"Contaminação, incêndio ou obstrução","descarte, residuo",Alta		
24133,2024-09-25,2024-10-07,2025-02-03,Awaiting Verification,Medium (Ideally within 14 days),Estação de tratamento sem conteção para químicos.,Estação de tratamento de impermeavel sem conteção qu-imica adequada,,PS Packaging Materials Factory,,,Factory,Audit,663,SIM,Utilidades,Produtos Químicos,Contenção / impermeabilização,Área química sem contenção adequada,NR 20 / NR 26,Derramamento e contaminação,impermeavel,Média		
24634,2024-10-21,2024-10-25,2025-02-03,Awaiting Verification,High (Ideally within 7 days),Inspeção de Segurança,Foram encontrados materais misturado e com pregos exposição ao risco muito o grande,,PS Packaging Materials Factory,,,Shared Buildings / Common Area,Audit,637,SIM,Área não identificada,Condição de Segurança,Desvio de segurança não especificado,Condição insegura requer avaliação técnica,A definir,Risco ocupacional a confirmar,risco/segurança,Baixa		
24731,2024-10-24,2024-10-31,2025-02-03,Awaiting Verification,High (Ideally within 7 days),Fiação  irregular,"Encontramos algumas situações de risco nas áreas são elas:		
		
1° Àrea da cocção com mangueuiras irregulares soltas  e fiação com emenda",,PS Packaging Materials Factory,,,Shared Buildings / Common Area,Audit,634,SIM,Área não identificada,Condição de Segurança,Desvio de segurança não especificado,Condição insegura requer avaliação técnica,A definir,Risco ocupacional a confirmar,risco/segurança,Baixa		
26846,2024-12-17,2024-12-16,2025-01-31,Awaiting Verification,Low (Ideally within 30 days),Problemas com goteiras no telhado Mezanino Pre Impressçao,Problemas com goteiras no telhado Mezanino Pre Impressçao ocasionando a queda do forro,,PS Packaging Materials Factory,,,Factory,Audit,580,SIM,Produção / Fábrica,Quedas e Circulação,Escada / guarda-corpo,"Escada, guarda-corpo ou proteção contra queda inadequada",NR 35 / NR 8,Queda de altura,mezanino,Alta		
22156,2024-07-31,2024-12-20,2026-07-01,Awaiting Verification,Low (Ideally within 30 days),Colocar um recipiente maior e mais proximo da area,Colocar um recipiente maior e mais proximo da area,Abelardo Santos,PS Packaging Materials Factory,,,Factory,Events,719,SIM,Produção / Fábrica,5S e Organização,Local definido / armazenamento,Item sem local definido ou armazenado inadequadamente,5S / Gestão Visual,"Obstrução, dano ou perda de controle",recipiente maior,Média		
28203,2025-01-17,2025-01-30,2025-01-29,Awaiting Verification,Medium (Ideally within 14 days),Expandir treinamento,"Expandir treinamento sobre uso dos botões ""reset/Update"" para os operadores de Cortadeiras",Marcelo Sousa,PS Packaging Materials Factory,,,Factory,Events,549,SIM,Cortadeiras,Procedimentos e Capacitação,Treinamento / comunicação,"Necessidade de treinamento, orientação ou comunicação",Sistema de Gestão,Falha de conhecimento ou comportamento inseguro,treinamento,Alta		
28204,2025-01-17,2025-02-28,2025-04-08,Awaiting Verification,Medium (Ideally within 14 days),Treinar operação,Treinar operação sobre uso dos botões Update,Marcelo Sousa,PS Packaging Materials Factory,,,Factory,Events,549,SIM,Produção / Fábrica,Procedimentos e Capacitação,Treinamento / reciclagem,Treinamento ou reciclagem operacional necessário,Sistema de Gestão,Erro operacional por conhecimento insuficiente,treinar,Média		
28200,2025-01-17,2025-05-30,2025-04-23,Awaiting Verification,Low (Ideally within 30 days),Facilitar acesso esteiras,Colocar dobradiças para facilitar abertura das grades das esteiras,Marcelo Sousa,PS Packaging Materials Factory,,,Factory,Events,549,SIM,Produção / Fábrica,Segurança de Máquinas,Proteção física / grade NR 12,"Proteção, grade ou acesso de máquina necessita adequação",NR 12,Acesso a partes móveis / esmagamento,"grade, esteira, dobradica",Média		
39866,2025-12-30,2026-03-23,2026-03-25,Awaiting Verification,Low (Ideally within 30 days),Sensor de presença,"Propor junto ao fornecedor de paleteiras a instalação de sensor de presença que verifique a posição correta da mesma no palete, dessa forma impedindo o acionamento de elevação de carga quando a paleteira não estiver corretamente posicionada.",Marcelo Sousa,PS Packaging Materials Factory,,Pletização Monte MMor,Factory,Actions,202,SIM,Warehouse / Doca,Segurança de Máquinas,Sensor / intertravamento,Falha ou inadequação de sensor/intertravamento,NR 12,Acesso à zona de perigo com máquina energizada,sensor de presenca,Alta		
44845,2026-04-26,2026-05-01,2026-05-08,Awaiting Verification,High (Ideally within 7 days),Cinta de elevação,"- cinta que foi usada Para descer esteiras do mesanino está aparentando desgaste e sem identificação, precisamos retirar a mesma do local pois já não está sendo mais utilizada",ClaudioFernandes DeCampos,PS Packaging Materials Factory,,,Factory,Audit,85,SIM,Produção / Fábrica,5S e Organização,Identificação,"Item, local ou condição sem identificação",5S / Gestão Visual,"Uso, descarte ou armazenamento incorreto",sem identificacao,Alta		
323,2021-07-21,2021-07-30,2021-11-16,Closed,Medium (Ideally within 14 days),Sling rupture incident,Hi Marcos. Please can you update the report in myOHS  with the details of the countermeasures agreed during your meeting with the supplier.,Marcos Ninci,PS Packaging Materials Factory,,,,Events,117,NÃO,Área não identificada,Movimentação de Materiais,Elevação / içamento,Controle inadequado em içamento ou elevação de cargas,NR 11,"Queda de carga, esmagamento ou colisão",sling,Média		
1982,2022-01-18,2022-01-19,2022-01-18,Closed,High (Ideally within 7 days),Instalar sinal luminoso indicador de pressão na parte superior da cabine da empilhadeira,Instalar sinal luminoso indicador de pressão na parte superior da cabine da empilhadeira,Marcos Souza,PS Packaging Materials Factory,,,,Events,-1,NÃO,Warehouse / Doca,Movimentação de Materiais,Empilhadeira / veículo industrial,Condição ou operação insegura de empilhadeira,NR 11,"Atropelamento, colisão ou tombamento",empilhadeira,Alta		
1986,2022-01-18,2022-01-21,2022-01-20,Closed,Medium (Ideally within 14 days),Restabelecer as posições das cameras para monitoramento,Restabelecer as posições das cameras para monitoramente,Marcos Souza,PS Packaging Materials Factory,,,,Events,1,NÃO,Área não identificada,Monitoramento e Controle,Câmera / sinal / indicador,Sistema de monitoramento ou indicação inadequado,Controles Operacionais,Falha de detecção ou informação ao operador,camera,Média		
1984,2022-01-18,2022-01-21,2022-03-10,Closed,Very High (Immediately),Restabelecer a vedação do cilindro hidraulico,Restabelecer a vedação do cilindro hidraulico,Jardel Bohme,PS Packaging Materials Factory,,,,Events,50,NÃO,Área não identificada,Manutenção e Confiabilidade,Vedação / vazamento hidráulico,Vedação ou componente hidráulico com falha,Manutenção,"Vazamento, perda funcional ou movimento inesperado","vedacao, cilindro hidraulico",Média		
1981,2022-01-18,2022-01-28,2022-06-10,Closed,High (Ideally within 7 days),Reinstalar o Guarda Corpo na frente da porta de acesso da Fabrica de Canudos,Reinstalar o guarda corpo que fica na frente da porta de acesso da Fabrica de Canudos com intuito de proteger os pedestres que saem por essa porta,AlexHenrique Santos,PS Packaging Materials Factory,,,,Events,142,NÃO,Canudos,Quedas e Circulação,Escada / guarda-corpo,"Escada, guarda-corpo ou proteção contra queda inadequada",NR 35 / NR 8,Queda de altura,guarda corpo,Alta		
2571,2022-02-11,2022-02-14,2023-06-07,Closed,Very High (Immediately),Realizar análise ergonomica da tarefa de abertura de caixas,xxxxxxxxxxxxxxx teste teste teste,Douglas Valler,PSE Projects and Portfolio Management,,,,Events,480,NÃO,Área não identificada,Ergonomia,Posto / postura / esforço,Condição ergonômica inadequada,NR 17,Distúrbio musculoesquelético ou fadiga,ergonom,Alta		
3002,2022-03-03,2022-03-03,2023-05-10,Closed,Very High (Immediately),Reparo da trava atual,Reparo da trava atual,Alexandre Formentini,PS Packaging Materials Factory,,,,Events,432,NÃO,Área não identificada,Segurança de Máquinas,Fixação / trava de segurança,"Trava, fixação ou retenção de componente inadequada",NR 12,Liberação inesperada ou projeção de componente,trava,Média		
4179,2022-06-01,2022-03-13,2022-06-01,Closed,High (Ideally within 7 days),Criar check list mensal para inspeção de escadas,Criar check list mensal para inspeção de escadas,,PS Packaging Materials Factory,,,,Events,-1,NÃO,Área não identificada,Quedas e Circulação,Escada / guarda-corpo,"Escada, guarda-corpo ou proteção contra queda inadequada",NR 35 / NR 8,Queda de altura,escada,Alta		
4178,2022-06-01,2022-03-14,2023-05-12,Closed,Very High (Immediately),As escadas articuladas foram retiradas de utilização,As escadas articuladas foram retiradas de utilização,,PS Packaging Materials Factory,,,,Events,344,NÃO,Área não identificada,Quedas e Circulação,Escada / guarda-corpo,"Escada, guarda-corpo ou proteção contra queda inadequada",NR 35 / NR 8,Queda de altura,escada,Alta		
4180,2022-06-01,2022-03-15,2022-06-01,Closed,High (Ideally within 7 days),Reforçar o uso da ferramenta PODE,Reforçar o uso da ferramenta PODE,,PS Packaging Materials Factory,,,,Events,-1,NÃO,Área não identificada,Procedimentos e Capacitação,Comunicação / reforço comportamental,Reforço de comunicação ou prática segura,Sistema de Gestão,Reincidência por falha de comunicação,"reforcar, ferramenta pode",Média		
3003,2022-03-03,2022-03-15,2023-01-06,Closed,Low (Ideally within 30 days),Desenvolver um check list digital,Desenvolver um check list digital que evidencie (foto) a inspeção dos item de segurança,Edenilson Massignan,PS Packaging Materials Factory,,,,Events,308,NÃO,Área não identificada,Condição de Segurança,Desvio de segurança não especificado,Condição insegura requer avaliação técnica,A definir,Risco ocupacional a confirmar,risco/segurança,Baixa		
4181,2022-06-01,2022-03-16,2022-06-01,Closed,High (Ideally within 7 days),Comunicação no DDS ao time da Manutenção quanto ao ocorrido sobre o acidente de trabalho.,Comunicação no DDS ao time da Manutenção quanto ao ocorrido sobre o acidente de trabalho.,,PS Packaging Materials Factory,,,,Events,-1,NÃO,Manutenção / Usinagem,Procedimentos e Capacitação,Treinamento / comunicação,"Necessidade de treinamento, orientação ou comunicação",Sistema de Gestão,Falha de conhecimento ou comportamento inseguro,"comunicacao, dds",Alta		
3216,2022-03-16,2022-03-16,2022-06-13,Closed,High (Ideally within 7 days),Implementar um sistema de bloqueio do uso do eixo traseiro ralo,Implementar um sistema de bloqueio do uso do eixo traseiro ralo,Marcos Souza,PS Packaging Materials Factory,,,,Events,88,NÃO,Área não identificada,Manutenção e Confiabilidade,Adequação física / melhoria de equipamento,Componente ou condição física requer adequação,Manutenção / Engenharia,Falha funcional ou risco operacional,verbo de adequação física,Baixa		
3215,2022-03-16,2022-03-16,2022-03-17,Closed,Low (Ideally within 30 days),Programar reuniões tri-mestrais para alinhamentos,Programar reuniões tri-mestrais para alinhamentos,Marcos Souza,PS Packaging Materials Factory,,,,Events,0,NÃO,Área não identificada,Procedimentos e Capacitação,Comunicação / reforço comportamental,Reforço de comunicação ou prática segura,Sistema de Gestão,Reincidência por falha de comunicação,reunioes,Média		
3006,2022-03-03,2022-03-24,2023-03-17,Closed,Low (Ideally within 30 days),Orientar o time sobre o uso da cinta,Orientar o time sobre o uso da cinta,AlexandreSoares Santos,PS Packaging Materials Factory,,,,Events,378,NÃO,Área não identificada,Procedimentos e Capacitação,Treinamento / comunicação,"Necessidade de treinamento, orientação ou comunicação",Sistema de Gestão,Falha de conhecimento ou comportamento inseguro,orientar,Alta		
3008,2022-03-03,2022-04-04,2022-12-07,Closed,Low (Ideally within 30 days),Revisar a probabilidade no IAR linha 99,Revisar a probabilidade no IAR linha 99,Edenilson Massignan,PS Packaging Materials Factory,,,,Events,278,NÃO,Área não identificada,Procedimentos e Capacitação,Procedimento / padrão operacional,"Procedimento inexistente, incompleto ou desatualizado",Sistema de Gestão,Execução inconsistente ou exposição não controlada,iar,Alta		
3005,2022-03-03,2022-04-04,2022-12-26,Closed,Low (Ideally within 30 days),"Melhorar o espaço (afastar a extrusora, mudar posição do painel, altura da escada, e outros)","Melhorar o espaço (afastar a extrusora, mudar posição do painel, altura da escada, e outros)",Abelardo Santos,PS Packaging Materials Factory,,,,Events,297,NÃO,Extrusão,Quedas e Circulação,Escada / guarda-corpo,"Escada, guarda-corpo ou proteção contra queda inadequada",NR 35 / NR 8,Queda de altura,escada,Alta		
3001,2022-03-03,2022-04-04,2023-05-10,Closed,Low (Ideally within 30 days),Substituir o sistema de fixação do pino (automático ou semi automático),Substituir o sistema de fixação do pino (automático ou semi automático),Alexandre Formentini,PS Packaging Materials Factory,,,,Events,432,NÃO,Área não identificada,Segurança de Máquinas,Fixação / trava de segurança,"Trava, fixação ou retenção de componente inadequada",NR 12,Liberação inesperada ou projeção de componente,"fixacao, pino",Média		
4172,2022-06-01,2022-05-10,2022-06-01,Closed,Very High (Immediately),Ajustar a temperatura do forno,Ajustar a temperatura do forno para que não tenha execesso de filme na bobina,Emerson Furlan,PS Packaging Materials Factory,,,,Events,-1,NÃO,Área não identificada,Movimentação de Materiais,Paletes / cargas,Palete ou carga em condição inadequada,NR 11,"Queda de carga, tombamento ou lesão por manuseio",bobina,Alta		
3214,2022-03-16,2022-05-13,2022-05-06,Closed,Low (Ideally within 30 days),Realizar IAR (Análise de Risco) para operação (transferência de carga),Realizar IAR (Análise de Risco) para operação (transferência de carga),Marcos Souza,PS Packaging Materials Factory,,,,Events,50,NÃO,Área não identificada,Procedimentos e Capacitação,Procedimento / padrão operacional,"Procedimento inexistente, incompleto ou desatualizado",Sistema de Gestão,Execução inconsistente ou exposição não controlada,iar,Alta		
4177,2022-06-01,2022-05-18,2022-08-04,Closed,High (Ideally within 7 days),Reforçar que deve ser feita a AST,Reforçar que deve ser feita a AST para atividade de uso do guincho manual na posição vertical,Jesus Junior,PS Packaging Materials Factory,,,,Events,63,NÃO,Área não identificada,Procedimentos e Capacitação,Comunicação / reforço comportamental,Reforço de comunicação ou prática segura,Sistema de Gestão,Reincidência por falha de comunicação,reforcar,Média		
4176,2022-06-01,2022-05-18,2022-08-04,Closed,High (Ideally within 7 days),Informar a todos operadores que o equipamento não pode ser utilizado na posição vertical,Informar a todos operadores que o equipamento não pode ser utilizado na posição vertical,Jesus Junior,PS Packaging Materials Factory,,,,Events,63,NÃO,Área não identificada,Procedimentos e Capacitação,Comunicação / reforço comportamental,Reforço de comunicação ou prática segura,Sistema de Gestão,Reincidência por falha de comunicação,informar,Média		
4168,2022-06-01,2022-06-01,2022-06-01,Closed,High (Ideally within 7 days),"Ação 3 - Mecanico da Montemorense fez a troca do cilindro de freio , onde foi detectado a quebra da haste do burrinho","Ação 3 - Mecanico da Montemorense fez a troca do cilindro de freio , onde foi detectado a quebra da haste do burrinho",Marcos Souza,PS Packaging Materials Factory,,,,Events,-1,NÃO,Utilidades,Movimentação de Materiais,Veículos / transporte,Condição ou gestão de veículo/transportadora inadequada,NR 11 / Trânsito interno,"Colisão, falha mecânica ou atropelamento",freio,Média		
4169,2022-06-01,2022-06-03,2022-06-13,Closed,Very High (Immediately),Ação 4 - Retirado o cavalo (caminhão) de circulação e enviado para manutenção para troca dos freios que estavam baixo,Ação 4 - Retirado o cavalo (caminhão) de circulação e enviado para manutenção para troca dos freios que estavam baixo,Jardel Bohme,PS Packaging Materials Factory,,,,Events,11,NÃO,Manutenção / Usinagem,Movimentação de Materiais,Veículos / transporte,Condição ou gestão de veículo/transportadora inadequada,NR 11 / Trânsito interno,"Colisão, falha mecânica ou atropelamento","caminhao, freio, cavalo",Média		
4147,2022-05-31,2022-06-03,2022-06-15,Closed,Very High (Immediately),Ação 2 - Coordenador conversou com o operador referente a movimentação simultânea,Coordenador da area conversar com o operador envolvido na ocorrencia referente a movimentação simultanea,Leticia Rosa,PS Packaging Materials Factory,,,,Events,14,NÃO,Área não identificada,Gestão de Incidentes,Ação derivada de incidente / near miss,Tratativa e prevenção após incidente ou quase acidente,Investigação de Incidentes,Recorrência do evento,ocorrencia,Média		
3007,2022-03-03,2022-06-03,2022-12-26,Closed,Low (Ideally within 30 days),Expandir as ações implementadas para os balancins do laminador 2 e 3,Expandir as ações implementadas para os balancins do laminador 2 e 3,Abelardo Santos,PS Packaging Materials Factory,,,,Events,297,NÃO,Área não identificada,Revisão especializada,Descrição ambígua ou contextual,Registro requer leitura técnica para determinar o mecanismo de perda,A validar,Não inferir sem contexto,descrição sem palavras-chave conclusivas,Revisão manual		
4149,2022-05-31,2022-06-10,2022-06-02,Closed,High (Ideally within 7 days),Reforçar com toda a operação (MP e CD) quanto a movimentação de materiais durante a elevação de carga (movimentação simultânea),Ação 4 - Reforçar com toda a operação (MP e CD) quanto a movimentação de materiais durante a elevação de carga (movimentação simultânea),Marcos Souza,PS Packaging Materials Factory,,,,Events,1,NÃO,Área não identificada,Procedimentos e Capacitação,Comunicação / reforço comportamental,Reforço de comunicação ou prática segura,Sistema de Gestão,Reincidência por falha de comunicação,reforcar,Média		
4167,2022-06-01,2022-06-13,2022-06-13,Closed,High (Ideally within 7 days),"Ação 2 - A empresa contratada , deve garantir as condições basicas do seus equipamentos de forma que garanta a segurança na operação","Ação 2 - A empresa contratada , deve garantir as condições basicas do seus equipamentos de forma que garanta a segurança na operação",Marcos Souza,PS Packaging Materials Factory,,,,Events,11,NÃO,Área não identificada,Condição de Segurança,Desvio de segurança não especificado,Condição insegura requer avaliação técnica,A definir,Risco ocupacional a confirmar,risco/segurança,Baixa		
